Max # of Attribute,Max # of Rules,Training Accuracy,Validation Accuracy
1,1,0.705255825,0.69897085
1,2,0.704252528,0.69204598
1,3,0.718261482,0.693125951
1,4,0.716764081,0.694432533
1,5,0.727246163,0.712868263
1,6,0.727058492,0.715033416
1,7,0.724042396,0.70485991
1,8,0.730771288,0.686849447
1,9,0.73764782,0.708635543
1,10,0.738126531,0.716830929
1,12,0.734998171,0.718647356
1,14,0.737524996,0.714979014
1,16,0.738942546,0.687916409
1,18,0.729260694,0.715083432
1,20,0.738545933,0.707145064
1,40,0.738471446,0.728131411
1,80,0.739320375,0.697124003
1,160,0.731119983,0.694184482
1,320,0.756736911,0.718508365
1,640,0.755495567,0.735232049
2,1,0.70785384,0.680749603
2,2,0.712523902,0.708000601
2,3,0.720833344,0.706078662
2,4,0.727412747,0.714090032
2,5,0.722569777,0.704410386
2,6,0.72533913,0.715141624
2,7,0.730829232,0.704539527
2,8,0.735140123,0.699140896
2,9,0.73247263,0.694353447
2,10,0.735396862,0.701360947
2,12,0.726376958,0.698345553
2,14,0.7292186,0.716820624
2,16,0.73821955,0.71326503
2,18,0.732890276,0.705250656
2,20,0.74469506,0.708015086
2,40,0.747550475,0.697876965
2,80,0.74793267,0.712777634
2,160,0.757994434,0.701927957
2,320,0.769009493,0.721125151
2,640,0.77079993,0.732504612
3,1,0.70675666,0.69087352
3,2,0.714957004,0.69703464
3,3,0.726726896,0.696876957
3,4,0.718014482,0.70396648
3,5,0.723987403,0.716656535
3,6,0.738807882,0.702405216
3,7,0.729250918,0.704551909
3,8,0.731747804,0.707092799
3,9,0.731153405,0.697153569
3,10,0.733745208,0.697863871
3,12,0.728926432,0.71258151
3,14,0.737145419,0.710877504
3,16,0.737307944,0.70955477
3,18,0.741236175,0.694854612
3,20,0.741731294,0.72168891
3,40,0.746010759,0.710052641
3,80,0.75351113,0.715014851
3,160,0.760480597,0.709209608
3,320,0.770994723,0.727903241
3,640,0.776509441,0.71014084
4,1,0.705504733,0.698424714
4,2,0.713975022,0.709008264
4,3,0.722568026,0.714520689
4,4,0.725044838,0.70374591
4,5,0.726250869,0.715121597
4,6,0.729233732,0.696279086
4,7,0.727878446,0.696019012
4,8,0.736354398,0.68635595
4,9,0.728656785,0.704687513
4,10,0.723668332,0.699500071
4,12,0.731404987,0.713564431
4,14,0.74393015,0.71570488
4,16,0.732926598,0.697788956
4,18,0.743964013,0.703242058
4,20,0.738302052,0.7142193
4,40,0.746497066,0.73235731
4,80,0.755724215,0.686941996
4,160,0.77101305,0.727565934
4,320,0.78004834,0.720563166
4,640,0.794098621,0.701525392
5,1,0.714881342,0.705073644
5,2,0.718086253,0.693743352
5,3,0.720978598,0.689544916
5,4,0.728245654,0.719192533
5,5,0.728770403,0.702100013
5,6,0.72414336,0.705010297
5,7,0.733306484,0.708551765
5,8,0.733501019,0.715598482
5,9,0.730770736,0.712092078
5,10,0.7274672,0.704611184
5,12,0.73751593,0.686613292
5,14,0.736402084,0.700777426
5,16,0.736417165,0.713368867
5,18,0.739041628,0.69542014
5,20,0.739348188,0.719260813
5,40,0.744571728,0.704905627
5,80,0.75932335,0.708695678
