Max # of Attributes,Max # of Rules,Training Accuracy,Validation Accuracy
1,1,0.598771454,0.590989703
2,1,0.601760813,0.606917293
3,1,0.603618351,0.598663325
4,1,0.600804689,0.590688259
5,1,0.589174525,0.605454545
6,1,0.604470108,0.602254165
7,1,0.583755886,0.588690476
8,1,0.60399369,0.607326007
9,1,0.595598106,0.587176637
10,1,0.591909518,0.565072464
12,1,0.574478285,0.593099415
14,1,0.594706087,0.589358974
16,1,0.573304062,0.592477927
1,2,0.735526741,0.670664629
2,2,0.730444384,0.735254804
3,2,0.723046531,0.651666667
4,2,0.722842112,0.694029693
5,2,0.699599941,0.710045837
6,2,0.708525541,0.703688751
7,2,0.702761849,0.668975469
8,2,0.694920292,0.594831619
9,2,0.715143063,0.713799499
10,2,0.683973864,0.604244306
12,2,0.685683579,0.683915434
14,2,0.67237903,0.675706658
16,2,0.635491524,0.697922078
1,3,0.730162468,0.727222222
2,3,0.781087865,0.773904762
3,3,0.804588345,0.765530255
4,3,0.799791246,0.79752423
5,3,0.78688643,0.709435314
6,3,0.789769873,0.713824533
7,3,0.762393647,0.695765104
8,3,0.780024199,0.721847042
9,3,0.732700691,0.740029485
10,3,0.749907631,0.686027569
12,3,0.744392624,0.714867725
14,3,0.739790752,0.723636364
16,3,0.735599647,0.618774933
1,4,0.792174092,0.766501241
2,4,0.826648132,0.817933198
3,4,0.796661931,0.762870945
4,4,0.823201558,0.760560224
5,4,0.844798929,0.799143019
6,4,0.807413703,0.798760362
7,4,0.801186253,0.739480214
8,4,0.829881133,0.826293996
9,4,0.809334742,0.800083406
10,4,0.788461547,0.749601237
12,4,0.802029927,0.752384855
14,4,0.790816271,0.763319838
16,4,0.810175995,0.773687159
1,5,0.799414365,0.712755505
2,5,0.848469889,0.771548822
3,5,0.846534176,0.814285714
4,5,0.836743911,0.732724726
5,5,0.837686033,0.815206349
6,5,0.8597099,0.757579365
7,5,0.866224929,0.782333333
8,5,0.833288672,0.744034632
9,5,0.824661338,0.825275309
10,5,0.820539896,0.784281644
12,5,0.821772431,0.703784059
14,5,0.79719023,0.784310777
16,5,0.778711804,0.731428571
1,6,0.829857722,0.802010582
2,6,0.845070312,0.850804693
3,6,0.873218867,0.777528482
4,6,0.861707813,0.805314954
5,6,0.857623578,0.809299517
6,6,0.866284007,0.854177355
7,6,0.852999137,0.83354842
8,6,0.865605776,0.819450019
9,6,0.840997091,0.734861111
10,6,0.852107441,0.745419103
12,6,0.842350761,0.802795031
14,6,0.836175387,0.761441648
16,6,0.862496075,0.783100812
1,7,0.848729151,0.798030303
2,7,0.851081004,0.778711938
3,7,0.857040534,0.818803922
4,7,0.880933551,0.858761905
5,7,0.879208755,0.778004386
6,7,0.895815918,0.856137119
7,7,0.890828369,0.867099567
8,7,0.881492831,0.816404736
9,7,0.871988862,0.845919146
10,7,0.880266248,0.826429886
12,7,0.833048933,0.733828564
14,7,0.86428513,0.822094426
16,7,0.816519269,0.754076555
1,8,0.880918894,0.833386809
2,8,0.879520249,0.828482517
3,8,0.893208672,0.848640152
4,8,0.879153519,0.807614176
5,8,0.863929018,0.781933094
6,8,0.873535518,0.813493761
7,8,0.868376746,0.75757971
8,8,0.864012192,0.82420661
9,8,0.88642706,0.859140316
10,8,0.881909313,0.855975545
12,8,0.898152955,0.787838024
14,8,0.879308824,0.787291361
16,8,0.841440683,0.755889724
1,9,0.878838716,0.822931235
2,9,0.913473669,0.905042607
3,9,0.896433623,0.856882392
4,9,0.915826959,0.876976862
5,9,0.891173615,0.822405017
6,9,0.874150341,0.810306481
7,9,0.885348618,0.795920022
8,9,0.893981623,0.833189033
9,9,0.893962112,0.766886447
10,9,0.894498396,0.841134727
12,9,0.883980989,0.830182073
14,9,0.886251467,0.881547619
16,9,0.854049986,0.804373336
1,10,0.90263273,0.840848485
2,10,0.883713052,0.828383211
3,10,0.915402264,0.856832992
4,10,0.915638054,0.882973904
5,10,0.918135183,0.860794372
6,10,0.887414682,0.854497354
7,10,0.913290377,0.883549784
8,10,0.906397713,0.845992823
9,10,0.928362289,0.881616937
10,10,0.917679678,0.874691076
12,10,0.905691479,0.863372859
14,10,0.899337464,0.879523091
16,10,0.886715025,0.854121135
1,12,0.880391511,0.817037787
2,12,0.91899659,0.873364998
3,12,0.879334723,0.81761708
4,12,0.900872849,0.805826087
5,12,0.956566498,0.924460724
6,12,0.951082701,0.857362524
7,12,0.920988619,0.839995128
8,12,0.920930488,0.8425
9,12,0.908088047,0.830203982
10,12,0.922965626,0.838261563
12,12,0.917654716,0.821176046
14,12,0.917427469,0.875669673
16,12,0.900767459,0.829513072
1,14,0.914124833,0.826521739
2,14,0.923460511,0.909042607
3,14,0.948354197,0.881569878
4,14,0.941466634,0.884118926
5,14,0.931280667,0.89592159
6,14,0.930403749,0.857980702
7,14,0.935901625,0.890537939
8,14,0.949682102,0.86496388
9,14,0.930227329,0.789122807
10,14,0.952505524,0.857204489
12,14,0.938428,0.809173254
14,14,0.927685752,0.803761905
16,14,0.915498082,0.779335038
1,16,0.920989766,0.89502924
2,16,0.917437445,0.859307359
3,16,0.94783332,0.858295626
4,16,0.935986916,0.831308064
5,16,0.95272475,0.855157457
6,16,0.930146691,0.871764347
7,16,0.93295042,0.876759834
8,16,0.943847385,0.838433457
9,16,0.933715018,0.873878788
10,16,0.938939815,0.897677147
12,16,0.935514257,0.89282567
14,16,0.933924515,0.842062865
16,16,0.908982617,0.901415076
1,18,0.896187667,0.788803828
2,18,0.926059235,0.855830281
3,18,0.939684438,0.906663924
4,18,0.960315474,0.76684901
5,18,0.945417803,0.835473684
6,18,0.960122305,0.883330988
7,18,0.95798237,0.862643678
8,18,0.982668145,0.897600619
9,18,0.948089347,0.862248536
10,18,0.950205392,0.843333333
12,18,0.952916484,0.905640877
14,18,0.920782111,0.827609087
16,18,0.918241885,0.826504497
1,20,0.936881569,0.896666667
2,20,0.946516396,0.885185185
3,20,0.951124136,0.928026436
4,20,0.935259986,0.887043545
5,20,0.965779873,0.953544143
6,20,0.955736857,0.882759358
7,20,0.962669106,0.927056277
8,20,0.960268764,0.870153128
9,20,0.953668936,0.91402404
10,20,0.943426668,0.856510114
12,20,0.945442525,0.863786078
14,20,0.9614881,0.852675325
16,20,0.928102949,0.877507974
1,40,0.940060939,0.883794872
2,40,0.961183019,0.872557098
